"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2023","10.170","10.170","10.180","10.095","383.34K","0.89%"
"11/22/2023","10.080","10.055","10.210","9.970","874.87K","-0.20%"
"11/21/2023","10.100","10.100","10.225","10.075","824.44K","-0.39%"
"11/20/2023","10.140","10.085","10.150","9.980","1.06M","0.95%"
"11/17/2023","10.045","9.970","10.090","9.970","1.10M","0.75%"
"11/16/2023","9.970","9.978","10.105","9.946","1.06M","-0.08%"
"11/15/2023","9.978","9.852","10.000","9.852","1.52M","1.34%"
"11/14/2023","9.846","9.680","9.866","9.648","1.05M","2.31%"
"11/13/2023","9.624","9.648","9.668","9.586","422.94K","0.08%"
"11/10/2023","9.616","9.656","9.748","9.590","561.34K","-1.50%"
"11/09/2023","9.762","9.694","9.836","9.610","662.45K","0.99%"
"11/08/2023","9.666","9.650","9.760","9.606","681.11K","0.21%"
"11/07/2023","9.646","9.740","9.740","9.568","616.84K","-1.07%"
"11/06/2023","9.750","9.720","9.784","9.652","1.09M","0.91%"
"11/03/2023","9.662","9.340","9.698","9.134","2.45M","3.31%"
"11/02/2023","9.352","9.234","9.410","9.234","1.30M","1.81%"
"11/01/2023","9.186","9.190","9.244","9.148","358.45K","-0.13%"
"10/31/2023","9.198","9.060","9.230","9.048","658.79K","1.41%"
"10/30/2023","9.070","9.074","9.110","9.030","459.77K","-0.11%"
"10/27/2023","9.080","9.090","9.130","9.032","388.84K","0.53%"
"10/26/2023","9.032","8.910","9.044","8.854","540.36K","1.21%"
"10/25/2023","8.924","8.860","8.942","8.836","413.10K","1.34%"
"10/24/2023","8.806","8.770","8.824","8.670","592.43K","0.59%"
"10/23/2023","8.754","8.800","8.838","8.730","780.35K","-0.75%"
"10/20/2023","8.820","8.920","8.942","8.804","814.16K","-2.13%"
"10/19/2023","9.012","8.946","9.022","8.936","451.36K","0.18%"
"10/18/2023","8.996","9.164","9.164","8.954","741.46K","-1.88%"
"10/17/2023","9.168","9.144","9.174","9.012","437.40K","-0.33%"
"10/16/2023","9.198","9.104","9.236","9.100","587.80K","0.63%"
"10/13/2023","9.140","9.128","9.236","9.108","545.00K","-0.11%"
"10/12/2023","9.150","9.192","9.254","9.144","600.17K","0.18%"
"10/11/2023","9.134","9.010","9.236","9.000","612.11K","0.77%"
"10/10/2023","9.064","9.000","9.192","9.000","694.38K","1.09%"
"10/09/2023","8.966","8.914","8.984","8.872","318.80K","-0.04%"
"10/06/2023","8.970","8.970","8.980","8.876","291.37K","0.43%"
"10/05/2023","8.932","8.940","8.952","8.860","483.69K","-0.07%"
"10/04/2023","8.938","8.920","9.008","8.872","486.83K","-0.13%"
"10/03/2023","8.950","9.000","9.100","8.932","467.89K","-0.73%"
"10/02/2023","9.016","9.200","9.298","9.010","693.54K","-1.62%"
"09/29/2023","9.164","9.138","9.234","9.108","727.24K","0.66%"
"09/28/2023","9.104","8.980","9.104","8.950","815.45K","1.27%"
"09/27/2023","8.990","8.980","9.040","8.912","485.48K","0.11%"
